saved_id,sentiment,situation,message,canal,ciutada,clas1,clas2,clas3,lng,lat,barri,data_inici
BC00283289,3,"2,55","Soy un vecino del nuevo residencial de la calle [ADDRESS]. Desde que en marzo 2019 nos entregaran las viviendas, padecemos las grandísimas molestias de tener un parque para perros a una distancia aproximada de 5 metros, situado en el solar de calle [ADDRESS] con calle [ADDRESS]. El ruido que producen los perros que allí se aglutinan es insoportable. Lo padecemos todos los días, con mayor insistencia los fines de semana y festivos, que nos impide descansar. Los ruidos comienzan a tempranas horas de la mañana (sobre las 06:00) y se alargan hasta las últimas horas del día (sobre las 00:00 horas, y en ocasiones hasta más tarde). | Tenemos una hija de 1 año que es despertada sistemáticamente cada día por el ruido que provoca la acumulación de perros en ese solar, lo que está provocando un grandísimo malestar en nuestra familia. | Entendemos que desde que se entregaron nuestras viviendas no tiene sentido mantener un parque para perros a una distancia de apenas 5 metros. Es imposible la convivencia. | Exigimos que se proceda al cierre de ese parque para perros y se traslade a otro punto de la ciudad donde no haga la vida imposible a los vecinos.",Web municipal,Ciutadà,Manteniment de la Ciutat,Espai per a gossos / Correcans,,2.45196025,41.54350840,Eixample,2020-01-01 00:00:00
BC00283304,5,5,Civisme: [ADDRESS]. | -Passem comunicada de mirall panoràmic desenfocat.,Telèfon del civisme,Ciutadà,Manteniment de la Ciutat,Miralls panoràmics (cruïlles carrers),,2.42699348,41.54334515,Cerdanyola,2020-01-01 00:00:00
BC00283305,"5,5","3,8","Han trucat del c. [ADDRESS], 20 està la vorera plena de vidres, han trencat ampolles, prega que es netegi.",Telèfon del civisme,Ciutadà,Manteniment de la Ciutat,"Neteja viària / Recollida animals morts (gossos, gats, coloms, rates,etc.)",,2.44560151,41.53676472,Eixample,2020-01-01 00:00:00
BC00283306,"4,5",5,Tel Civisme: | Comenta que el enllumenat public esta encès | Demana que l'apaguin,Telèfon del civisme,Ciutadà,Manteniment de la Ciutat,Enllumenat,,2.44417473,41.55202852,Vista Alegre,2020-01-01 00:00:00
BC00283307,"3,75","3,8",Tel Civisme: | Comenta que hi ha voluminosos al carrer [ADDRESS] a plena la vorera | Demana que passin el mes aviat possible,Telèfon del civisme,Ciutadà,Manteniment de la Ciutat,Mobles i voluminosos,,2.42118676,41.53860622,Cerdanyola,2020-01-01 00:00:00
BC00283308,"3,75","2,55",Civisme/ ID Parada 1054( L2 ) [ADDRESS] / [ADDRESS]. | -Comunicat realitzat el dia 24/12 i no gestionat. | -Diu que encara segueixen les restes de cristalls en la parada i s'han dispersat pels seus voltants ([ADDRESS]).,Telèfon del civisme,Ciutadà,Manteniment de la Ciutat,"Neteja viària / Recollida animals morts (gossos, gats, coloms, rates,etc.)",,2.43769948,41.53351240,Eixample,2020-01-01 00:00:00
BC00283324,"5,5","3,8",Civisme: | -Comunica que el contenidor de vidre està ple i hi ha restes de cristalls al voltant dels contenidors.,Telèfon del civisme,Ciutadà,Manteniment de la Ciutat,Contenidors/ Recollida escombraries,Contenidors / Recollida escombraries,2.44606426,41.55215605,Vista Alegre,2020-01-01 00:00:00
BC00283325,"4,5","3,8","Fotodenuncia - Publica vídeo on es veu sortir una rata de sota el contenidor del C. [ADDRESS], (no indica número). Adjuntem URL del mateix: https://www.facebook.com/[NAME]/videos/2365310280247789/?t=70",Fotodenuncia,Ciutadà,Salut Pública,"Plagues (rates, paneroles, mosquit tigre, etc.)",,2.45024065,41.54627246,El Palau-Escorxador,2020-01-01 00:00:00
BC00283326,"7,45","5,05","Buenos días, solicito copia del atestado A19/997-E1E emitido a raíz del accidente de tráfico ocurrido el día 27/11/19 en el que se vio implicado el vehículo [PLATE] y dos peatones.",Web municipal,Ciutadà,Policia local,,,2.42467866,41.52727717,Pla d´en Boet,2020-01-01 00:00:00
BC00283327,"4,5","3,8","Han trucat del c. [ADDRESS], aquest ciutadà diu que fa més de dues setmanes que no escombren, prega que es netegi.",Telèfon del civisme,Ciutadà,Manteniment de la Ciutat,"Neteja viària / Recollida animals morts (gossos, gats, coloms, rates,etc.)",,2.42384505,41.53940595,Cerdanyola,2020-01-01 00:00:00
BC00283328,"5,45",5,Civisme: | -Ens comunica que ha de baixar un moble ampli de menjador.,Telèfon del civisme,Ciutadà,Manteniment de la Ciutat,Mobles i voluminosos,,2.46204612,41.55641018,El Palau-Escorxador,2020-01-01 00:00:00
BC00283329,"7,45","5,05","Civisme - Al [ADDRESS] hi ha un fanal que fa llum amb intermitències ja fa dies, s'encén i s'apaga continuament. Sol·licita ho passin a revisar.",Telèfon del civisme,Ciutadà,Manteniment de la Ciutat,Enllumenat,,2.44073879,41.54309913,Eixample,2020-01-01 00:00:00
BC00283330,"4,5","3,8","Civisme - Comunica que a la Rda. Alfons X el Savi, vorera del davant del [ADDRESS], han deixat voluminosos al costat dels contenidors. També paelles i cartrons.",Telèfon del civisme,Ciutadà,Manteniment de la Ciutat,Voluminosos (recollida via pública),Avís incidència/Queixa,2.44636845,41.54569240,Eixample,2020-01-01 00:00:00
BC00283331,"5,45",5,"Fotodenuncia - [ADDRESS], digo yo que esta obra será para 11 diciembre del 2020. | (Adjunta fotos)",Fotodenuncia,Ciutadà,Manteniment de la Ciutat,Tanques,,2.44589327,41.54411555,Eixample,2020-01-01 00:00:00
BC00283332,"5,45",5,Fotodenuncia - Senyal tombat a terra. Entrada Tecnocampus. | (Adjunta foto),Fotodenuncia,Ciutadà,Mobilitat,Ordenació viària,Senyalització viària,2.43456883,41.52715658,Pla d´en Boet,2020-01-01 00:00:00
BC00283333,"3,75","2,55","Bustia civisme | La porta d'entrada i sortida del pàrquing, fa servir d'urinari. Demanen que contacten veí per poder accedir-hi al garatge i fer neteja. El carrer [ADDRESS] és ple de brutícia i pixums.",Telèfon del civisme,Ciutadà,Manteniment de la Ciutat,"Neteja viària / Recollida animals morts (gossos, gats, coloms, rates,etc.)",,2.44613294,41.53651705,Eixample,2020-01-01 00:00:00
BC00283344,"4,5","3,8","Civisme - Comunica que a la [ADDRESS] han quedat soltes algunes peces del paviment que s'haurien de reparar, ja que alguns incívics les agafen i les llencen als vidres de les finestres dels veïns.",Telèfon del civisme,Ciutadà,Manteniment de la Ciutat,Voreres,,2.44836556,41.54652628,Rocafonda,2020-01-01 00:00:00
BC00283345,"3,75","3,8","Han trucat del c. del Sot de l'Hospital, prega que es netegi, està molt brut.",Telèfon 010,Ciutadà,Manteniment de la Ciutat,"Neteja viària / Recollida animals morts (gossos, gats, coloms, rates,etc.)",,2.43084907,41.56001727,Vista Alegre,2020-01-01 00:00:00
